,1月22日,1月23日,1月24日,1月25日,1月26日,1月27日,1月28日,1月29日,1月30日,1月31日,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,2月16日,2月17日,2月18日
阿城区,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,
巴彦县,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,
道里区,0,0,0,0,0,2,3,3,5,6,10,10,13,16,16,17,17,21,22,23,23,23,23,23,29,29,29,
方正县,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,6,6,6,6,7,7,8,8,8,
木兰县,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
南岗区,0,0,0,1,1,2,3,3,7,10,11,11,14,15,17,20,22,24,27,29,29,30,30,30,33,35,35,
尚志市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,8,13,14,18,20,21,21,21,21,
双城区,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
松北区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,
五常市,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,6,9,12,16,17,17,19,19,20,23,23,
香坊区,0,1,1,3,3,3,5,5,7,7,7,7,15,16,16,19,19,23,24,27,28,32,32,33,35,25,35,
道外区,0,0,0,0,0,0,0,0,0,1,1,1,2,5,7,10,10,11,13,14,14,15,15,16,18,19,19,
